VariableCode,RegionCode,YearCode,AggValue
ccon,HKG,1967,19655.64648437500000000
ccon,HKG,1968,21605.31640625000000000
ccon,HKG,1969,23312.69726562500000000
ccon,HKG,1970,25423.22070312500000000
ccon,HKG,1971,28342.29492187500000000
ccon,HKG,1972,30268.46679687500000000
ccon,HKG,1973,34074.93359375000000000
ccon,HKG,1974,33861.08203125000000000
ccon,HKG,1975,35171.01562500000000000
ccon,HKG,1976,37787.94531250000000000
ccon,HKG,1977,44057.97265625000000000
ccon,HKG,1978,51462.67968750000000000
ccon,HKG,1979,56367.91796875000000000
ccon,HKG,1980,63381.55468750000000000
ccon,HKG,1981,67083.26562500000000000
ccon,HKG,1982,69298.24218750000000000
ccon,HKG,1983,73380.88281250000000000
ccon,HKG,1984,76140.35937500000000000
ccon,HKG,1985,78742.96875000000000000
ccon,HKG,1986,83985.67187500000000000
ccon,HKG,1987,90770.14843750000000000
ccon,HKG,1988,97592.38281250000000000
ccon,HKG,1989,100981.12500000000000000
ccon,HKG,1990,107866.32812500000000000
ccon,HKG,1991,115942.49218750000000000
ccon,HKG,1992,124578.39843750000000000
ccon,HKG,1993,131731.10937500000000000
ccon,HKG,1994,138572.04687500000000000
ccon,HKG,1995,140607.82812500000000000
ccon,HKG,1996,144965.73437500000000000
ccon,HKG,1997,154822.78125000000000000
ccon,HKG,1998,149628.40625000000000000
ccon,HKG,1999,155130.25000000000000000
ccon,HKG,2000,164741.50000000000000000
ccon,HKG,2001,172241.31250000000000000
ccon,HKG,2002,175464.25000000000000000
ccon,HKG,2003,178803.43750000000000000
ccon,HKG,2004,195266.45312500000000000
ccon,HKG,2005,209960.57812500000000000
ccon,HKG,2006,219220.85937500000000000
ccon,HKG,2007,236361.92187500000000000
ccon,HKG,2008,242219.34375000000000000
ccon,HKG,2009,242471.87500000000000000
ccon,HKG,2010,257771.25000000000000000
ccon,HKG,2011,279272.81250000000000000
ccon,HKG,2012,299097.59375000000000000
ccon,HKG,2013,304190.06250000000000000
ccon,HKG,2014,307989.34375000000000000
ccon,HKG,2015,310936.87500000000000000
ccon,HKG,2016,311562.81250000000000000
ccon,HKG,2017,331462.53125000000000000
ccon,HKG,2018,348687.93750000000000000
ccon,HKG,2019,347256.09375000000000000
cda,HKG,1960,13967.79101562500000000
cda,HKG,1961,14955.65429687500000000
cda,HKG,1962,17258.96093750000000000
cda,HKG,1963,19972.00195312500000000
cda,HKG,1964,21837.11523437500000000
cda,HKG,1965,24480.03710937500000000
cda,HKG,1966,25569.00585937500000000
cda,HKG,1967,24903.77148437500000000
cda,HKG,1968,26374.47851562500000000
cda,HKG,1969,28321.86523437500000000
cda,HKG,1970,31234.67968750000000000
cda,HKG,1971,35593.05859375000000000
cda,HKG,1972,38233.34765625000000000
cda,HKG,1973,43030.60937500000000000
cda,HKG,1974,43131.29296875000000000
cda,HKG,1975,44830.55859375000000000
cda,HKG,1976,49653.96093750000000000
cda,HKG,1977,57854.25000000000000000
cda,HKG,1978,66651.63281250000000000
cda,HKG,1979,73994.48437500000000000
cda,HKG,1980,84497.96875000000000000
cda,HKG,1981,89912.17968750000000000
cda,HKG,1982,91790.60937500000000000
cda,HKG,1983,94312.70312500000000000
cda,HKG,1984,97520.00000000000000000
cda,HKG,1985,99129.66406250000000000
cda,HKG,1986,107445.12500000000000000
cda,HKG,1987,119422.46875000000000000
cda,HKG,1988,130786.27343750000000000
cda,HKG,1989,133608.28125000000000000
cda,HKG,1990,144581.39062500000000000
cda,HKG,1991,158378.85937500000000000
cda,HKG,1992,174590.75000000000000000
cda,HKG,1993,185897.81250000000000000
cda,HKG,1994,207737.09375000000000000
cda,HKG,1995,223305.93750000000000000
cda,HKG,1996,233858.21875000000000000
cda,HKG,1997,255089.20312500000000000
cda,HKG,1998,235265.37500000000000000
cda,HKG,1999,227009.01562500000000000
cda,HKG,2000,249086.65625000000000000
cda,HKG,2001,254752.87500000000000000
cda,HKG,2002,258122.48437500000000000
cda,HKG,2003,261983.73437500000000000
cda,HKG,2004,279189.68750000000000000
cda,HKG,2005,293377.15625000000000000
cda,HKG,2006,307203.53125000000000000
cda,HKG,2007,328113.28125000000000000
cda,HKG,2008,333168.87500000000000000
cda,HKG,2009,331836.75000000000000000
cda,HKG,2010,354745.31250000000000000
cda,HKG,2011,377372.59375000000000000
cda,HKG,2012,400135.62500000000000000
cda,HKG,2013,404137.00000000000000000
cda,HKG,2014,408721.87500000000000000
cda,HKG,2015,402610.00000000000000000
cda,HKG,2016,404910.06250000000000000
cda,HKG,2017,430478.50000000000000000
cda,HKG,2018,448557.34375000000000000
cda,HKG,2019,431497.25000000000000000
ctfp,SGP,1960,0.45655927062034600
ctfp,SGP,1961,0.45655927062034600
ctfp,SGP,1962,0.45655927062034600
ctfp,SGP,1963,0.45655927062034600
ctfp,SGP,1964,0.45655927062034600
ctfp,SGP,1965,0.45587572455406200
ctfp,SGP,1966,0.50398808717727700
ctfp,SGP,1967,0.54714417457580600
ctfp,SGP,1968,0.57649564743042000
ctfp,SGP,1969,0.61385393142700200
ctfp,SGP,1970,0.64512836933136000
ctfp,SGP,1971,0.67360323667526200
ctfp,SGP,1972,0.66903614997863800
ctfp,SGP,1973,0.68155860900878900
ctfp,SGP,1974,0.68282628059387200
ctfp,SGP,1975,0.70702898502349900
ctfp,SGP,1976,0.74285304546356200
ctfp,SGP,1977,0.73887282609939600
ctfp,SGP,1978,0.84577506780624400
ctfp,SGP,1979,0.91946506500244100
ctfp,SGP,1980,0.88522529602050800
ctfp,SGP,1981,0.76946359872818000
ctfp,SGP,1982,0.77994543313980100
ctfp,SGP,1983,0.81602168083190900
ctfp,SGP,1984,0.84678745269775400
ctfp,SGP,1985,0.78492712974548300
ctfp,SGP,1986,0.75943475961685200
ctfp,SGP,1987,0.79990577697753900
ctfp,SGP,1988,0.80982172489166300
ctfp,SGP,1989,0.77912527322769200
ctfp,SGP,1990,0.77408623695373500
ctfp,SGP,1991,0.67696499824523900
ctfp,SGP,1992,0.66886639595031700
ctfp,SGP,1993,0.57285052537918100
ctfp,SGP,1994,0.56874620914459200
ctfp,SGP,1995,0.56542462110519400
ctfp,SGP,1996,0.64571064710617100
ctfp,SGP,1997,0.66868972778320300
ctfp,SGP,1998,0.78703784942627000
ctfp,SGP,1999,0.74443989992141700
ctfp,SGP,2000,0.89938455820083600
ctfp,SGP,2001,0.81189972162246700
ctfp,SGP,2002,0.81163662672042800
ctfp,SGP,2003,0.72183847427368200
ctfp,SGP,2004,0.75598466396331800
ctfp,SGP,2005,0.83605629205703700
ctfp,SGP,2006,0.93197405338287400
ctfp,SGP,2007,0.93398559093475300
ctfp,SGP,2008,0.74926781654357900
ctfp,SGP,2009,0.75554639101028400
ctfp,SGP,2010,0.83306139707565300
ctfp,SGP,2011,0.80305755138397200
ctfp,SGP,2012,0.78207534551620500
ctfp,SGP,2013,0.72796928882598900
ctfp,SGP,2014,0.73902177810668900
ctfp,SGP,2015,0.74078065156936600
ctfp,SGP,2016,0.74315291643142700
ctfp,SGP,2017,0.75399267673492400
ctfp,SGP,2018,0.72599351406097400
ctfp,SGP,2019,0.69106572866439800
ccon,SGP,1960,4131.54101562500000000
ccon,SGP,1961,4640.99414062500000000
ccon,SGP,1962,4871.69189453125000000
ccon,SGP,1963,5138.97851562500000000
ccon,SGP,1964,4911.33349609375000000
ccon,SGP,1965,5146.49658203125000000
ccon,SGP,1966,5573.53417968750000000
ccon,SGP,1967,6111.97119140625000000
ccon,SGP,1968,6817.95654296875000000
ccon,SGP,1969,7532.13769531250000000
ccon,SGP,1970,8568.61132812500000000
ccon,SGP,1971,9645.78027343750000000
ccon,SGP,1972,10586.57128906250000000
ccon,SGP,1973,11310.02929687500000000
ccon,SGP,1974,11925.55468750000000000
ccon,SGP,1975,12251.68066406250000000
ccon,SGP,1976,12875.73632812500000000
ccon,SGP,1977,13704.86718750000000000
ccon,SGP,1978,14717.01464843750000000
ccon,SGP,1979,15441.81152343750000000
ccon,SGP,1980,16604.37695312500000000
ccon,SGP,1981,17498.07226562500000000
ccon,SGP,1982,18616.78125000000000000
ccon,SGP,1983,19878.74023437500000000
ccon,SGP,1984,20948.74023437500000000
ccon,SGP,1985,22076.39648437500000000
ccon,SGP,1986,22867.03906250000000000
ccon,SGP,1987,24654.16601562500000000
ccon,SGP,1988,26409.10937500000000000
ccon,SGP,1989,28672.60742187500000000
ccon,SGP,1990,31286.92968750000000000
ccon,SGP,1991,33314.72265625000000000
ccon,SGP,1992,35064.91796875000000000
ccon,SGP,1993,39402.28906250000000000
ccon,SGP,1994,41702.17968750000000000
ccon,SGP,1995,44172.91796875000000000
ccon,SGP,1996,48025.65234375000000000
ccon,SGP,1997,53114.79687500000000000
ccon,SGP,1998,55629.37500000000000000
ccon,SGP,1999,63678.21093750000000000
ccon,SGP,2000,76885.89843750000000000
ccon,SGP,2001,87144.76562500000000000
ccon,SGP,2002,95669.57031250000000000
ccon,SGP,2003,103529.28125000000000000
ccon,SGP,2004,115193.11718750000000000
ccon,SGP,2005,131243.09375000000000000
ccon,SGP,2006,136522.90625000000000000
ccon,SGP,2007,144556.53125000000000000
ccon,SGP,2008,153372.18750000000000000
ccon,SGP,2009,156100.28125000000000000
ccon,SGP,2010,168406.45312500000000000
ccon,SGP,2011,178043.06250000000000000
ccon,SGP,2012,187238.23437500000000000
ccon,SGP,2013,191027.20312500000000000
ccon,SGP,2014,193650.29687500000000000
ccon,SGP,2015,203410.76562500000000000
ccon,SGP,2016,206814.40625000000000000
ccon,SGP,2017,213063.89062500000000000
ccon,SGP,2018,221644.65625000000000000
ccon,SGP,2019,229661.50000000000000000
cda,SGP,1960,5320.99951171875000000
cda,SGP,1961,5773.97314453125000000
cda,SGP,1962,6071.12011718750000000
cda,SGP,1963,6981.20214843750000000
cda,SGP,1964,6577.40087890625000000
cda,SGP,1965,7171.62939453125000000
cda,SGP,1966,7827.15917968750000000
cda,SGP,1967,8918.50000000000000000
cda,SGP,1968,10064.82812500000000000
cda,SGP,1969,11934.44042968750000000
cda,SGP,1970,14659.92871093750000000
cda,SGP,1971,17079.49218750000000000
cda,SGP,1972,18947.56835937500000000
