VariableCode,RegionCode,YearCode,AggValue
rgdpe,HKG,2013,401991.28125000000000000
rgdpe,HKG,2014,405738.68750000000000000
rgdpe,HKG,2015,411350.65625000000000000
rgdpe,HKG,2016,414892.93750000000000000
rgdpe,HKG,2017,434867.25000000000000000
rgdpe,HKG,2018,448523.25000000000000000
rgdpe,HKG,2019,440554.28125000000000000
emp,HKG,1960,1.10783755779266000
emp,HKG,1961,1.15048766136169000
emp,HKG,1962,1.20989394187927000
emp,HKG,1963,1.26220262050629000
emp,HKG,1964,1.30328452587128000
emp,HKG,1965,1.34845149517059000
emp,HKG,1966,1.37100875377655000
emp,HKG,1967,1.41693127155304000
emp,HKG,1968,1.45840859413147000
emp,HKG,1969,1.49312496185303000
emp,HKG,1970,1.54139626026154000
emp,HKG,1971,1.57101762294769000
emp,HKG,1972,1.62071263790131000
emp,HKG,1973,1.65696036815643000
emp,HKG,1974,1.70160090923309000
emp,HKG,1975,1.79021537303925000
emp,HKG,1976,1.86106169223785000
emp,HKG,1977,1.96516168117523000
emp,HKG,1978,2.07214856147766000
emp,HKG,1979,2.10253810882568000
emp,HKG,1980,2.25394606590271000
emp,HKG,1981,2.42059469223022000
emp,HKG,1982,2.42148447036743000
emp,HKG,1983,2.43924164772034000
emp,HKG,1984,2.51707673072815000
emp,HKG,1985,2.55764317512512000
emp,HKG,1986,2.63309478759766000
emp,HKG,1987,2.69498491287231000
emp,HKG,1988,2.74199652671814000
emp,HKG,1989,2.74314618110657000
emp,HKG,1990,2.73075985908508000
emp,HKG,1991,2.77306103706360000
emp,HKG,1992,2.76016998291016000
emp,HKG,1993,2.78922343254089000
emp,HKG,1994,2.84530377388000000
emp,HKG,1995,2.84956431388855000
emp,HKG,1996,2.96917891502380000
emp,HKG,1997,3.10735559463501000
emp,HKG,1998,3.10806727409363000
emp,HKG,1999,3.11425566673279000
emp,HKG,2000,3.20262169837952000
emp,HKG,2001,3.28300571441650000
emp,HKG,2002,3.26883673667908000
emp,HKG,2003,3.23717808723450000
emp,HKG,2004,3.30368828773499000
emp,HKG,2005,3.36280965805054000
emp,HKG,2006,3.41478824615479000
emp,HKG,2007,3.48790168762207000
emp,HKG,2008,3.53377246856689000
emp,HKG,2009,3.50063848495483000
emp,HKG,2010,3.49387335777283000
emp,HKG,2011,3.58322167396545000
emp,HKG,2012,3.65061044692993000
emp,HKG,2013,3.71925902366638000
emp,HKG,2014,3.74398517608643000
emp,HKG,2015,3.77715754508972000
emp,HKG,2016,3.78184223175049000
emp,HKG,2017,3.82796573638916000
emp,HKG,2018,3.87370657920837000
emp,HKG,2019,3.86381030082703000
hc,HKG,1960,1.78496623039246000
hc,HKG,1961,1.79632401466370000
hc,HKG,1962,1.80775392055511000
hc,HKG,1963,1.81925666332245000
